#,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,Alone,People I didn't know,How many people did you live with in that period?,Bored,Stressed,Free,Optimistic,Peaceful,Lonely,Disappointed,Frustrated,Threatened,Before covid,During covid,Bored,Stressed,Excited,Hopeful,Peaceful,Lonely,Vulnerable,Disappointed,Anxious,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Mask mandate,Lockdown,Closing Workplace/University,Vaccination pass,Social distancing,Quarantine,Proud,Optimistic,Indifferent,Vulnerable,Disappointed,Hostile,Threatened,Anxious,Free,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed,Optimistic,Peaceful,Lonely,Vulnerable,Disappointed,Frustrated,Anxious,Threatened,What were the priorities in your life *before* COVID-19?,What were the priorities in your life *during* COVID-19?,What is your main source of income?,Bored,Stressed,Free,Proud,Optimistic,Lonely,Disappointed,Frustrated,Anxious,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free,Aggresive,Frustrated,Disappointed,Vulnerable,Lonely,Optimistic,enthusiastic,stressed,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,Other,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?,utm_source,Start Date (UTC),Submit Date (UTC),Network ID
0215w9b6dgb54pmnebs4kafwvacuxdx6,Study,,,,Roommates,,,10,,,,Optimistic,,,,,,Weekly,Weekly,,,,Hopeful,,,,,,4,5,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,,,,,No,,,,,,,,,,,,,"Physical health,Career & Finances,Family,Relationships,Spirituality,Mental health","Physical health,Mental health,Family,Spirituality,Relationships,Career & Finances",Family,,,,Proud,,,,,,Yes because I changed my field of study,Change in personal interests,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,10,,Built Environment and Design,Female,,18-20,I come from abroad,White,Vulnerable,mimail,2022-06-23 19:57:00,2022-06-23 20:01:36,c3fdb73597
54p0i544jjpqg50wj559ujl54p0i5elb,Study,,,,Roommates,,,2,,Stressed,Free,,Peaceful,,,,,Weekly,Weekly,,,,,Peaceful,Lonely,,,Anxious,5,3,3,4,5,3,5,3,2,3,5,3,,,Indifferent,,,,,,,,,,"Yes, in 2022",,,Peaceful,,,Disappointed,Frustrated,,,"Career & Finances,Relationships,Physical health,Mental health,Family,Spirituality","Physical health,Relationships,Mental health,Career & Finances,Family,Spirituality",Family,Bored,,,,,,,Frustrated,Anxious,Yes because I changed my field of study,,Change in learning modes,,,,,,,,,,,,,,,,,,,," 1",4,2," 1",3,5,3,2,5,,Psychology and Cognitive Sciences,Female,,20-24,I come from abroad,Asian,Frustrated,qr-code,2022-06-23 19:53:08,2022-06-23 20:01:01,ce619c1253
kqv6vlnrdsplaewpokqvnurm3y1nm60d,Study,,Friends,Pets,Roommates,,,,Bored,,,,Peaceful,,,,,Every 3 months,Weekly,,,,,,,,Disappointed,Anxious,5,3,3,4,5,5,3,5,2,4,3,3,,,,,Disappointed,Hostile,Threatened,,,,,"Yes, in 2021",,,,,,Vulnerable,,,,,"Family,Career & Finances,Relationships,Physical health,Mental health,Spirituality","Family,Relationships,Mental health,Physical health,Career & Finances,Spirituality",Family,,,,,,,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,3,3,4," 1",5,5,5,5,5,,Studies in Creative Arts and Writing,Female,,20-24,I'm from somewhere else in the US,White,Frustrated,qr-code,2022-06-23 19:52:12,2022-06-23 19:58:19,fb5830e1ee
984rd03t34bxt69481984rd039idbn4y,Work,Family,,,,,,3,,,,,,,Disappointed,,,Weekly,Weekly,Bored,,,,,,,Disappointed,,3,4,2,4,3,2,3,2,2,4,3,2,,,,,Disappointed,Hostile,,,,,,,"Yes, in 2022",,,,,Vulnerable,,,,,"Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances","Family,Spirituality,Physical health,Mental health,Career & Finances,Relationships",,,,,,,,,,,,,,,,,,,,Self - employed,1,,,,,,,,,stressed,"Yes, due to smartworking",I wanted to work remotely,3,3,4,5,5,5,5,5,7,Health Care,,Male,,30-40,I come from abroad,White,Frustrated,qr-code,2022-06-23 19:46:03,2022-06-23 19:56:57,664ba8dd06
udn1y8pj75i9c5biudn1ygq89kzzstwa,Work,,,,Roommates,,,1,,,,,Peaceful,,,,,Daily,Daily,,,,Hopeful,,,,,,4,3,4,2,4,4,3,3,4,2,4,2,,,,,Disappointed,,,,,,,"Yes, in 2021",,,,,,,,,Anxious,,"Spirituality,Family,Mental health,Relationships,Career & Finances,Physical health","Physical health,Spirituality,Mental health,Family,Relationships,Career & Finances",,,,,,,,,,,,,,,,,,,,Business owner,0,Free,,,,,,,,,"Yes, I quit my job",Change in personal interests,4,4,3,3,4,4,4,3,8,Other / I prefer not to answer,,Male,,24-30,I come from abroad,Asian,Optimistic,qr-code,2022-06-23 19:50:36,2022-06-23 19:56:07,2f0be19e45
kaqs0r9bt7lwckz01rkaqs4xjeo09l41,Work,Family,,,,,,5,,,,Optimistic,,,,,,Daily,Daily,Bored,,,,,,,Disappointed,,4,4,4,4,,,3,4,4,4,,,,,,Vulnerable,,,Threatened,,,,,"Yes, in 2021",,,,,,,Disappointed,,,,"Physical health,Mental health,Relationships,Spirituality,Career & Finances,Family","Physical health,Relationships,Career & Finances,Spirituality,Mental health,Family",,,,,,,,,,,,,,,,,,,,Self - employed,0,,,,,,Lonely,Optimistic,enthusiastic,,"Yes, I quit my job",Career prospects,3,4,4,4,3,4,4,4,6,Information Technology,,Male,,24-30,I'm from somewhere else in the US,Asian,Free,qr-code,2022-06-23 19:50:44,2022-06-23 19:56:05,32b19dd103
wl26c99iwptk2myxtzv7yawl26c98w08,Study,Family,,Pets,,,,,,,,Optimistic,Peaceful,,,Frustrated,,Daily,Weekly,Bored,,,,,Lonely,,Disappointed,,2,2,1,3,2,1,1,1,1,1,1,1,,,Indifferent,,,,,,,No,,,,,,,,,,,,,"Relationships,Physical health,Family,Mental health,Career & Finances,Spirituality","Mental health,Family,Relationships,Physical health,Career & Finances,Spirituality",Family,,Stressed,,,,Lonely,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,9,,Economics,Female,,18-20,I'm from New York State,White,Frustrated,qr-code,2022-06-23 19:45:18,2022-06-23 19:51:15,b7d0552658
g6373zcgdyu6ggx1whvg6373zyh5dq23,Work,,,,Roommates,,,4,,,,Optimistic,,,,,,Weekly,Weekly,,,,,,,,Disappointed,,4,4,3,5,4,5,5,4,3,5,4,4,,,,,Disappointed,,,,,,"Yes, in 2020","Yes, in 2021",,,,,,Vulnerable,,,,,"Relationships,Physical health,Mental health,Career & Finances,Family,Spirituality","Physical health,Mental health,Relationships,Family,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,,,,,Optimistic,,,"Yes, I quit my job",I wanted to work remotely,4,4,4,2,5,5,5,5,9,Consumer Services & Retail,,Male,,24-30,I'm from somewhere else in the US,Black or African American,Stressed,qr-code,2022-06-23 19:42:09,2022-06-23 19:49:13,b0cfdfabe0
78cntbt5htf8syh7oj78cn932yf2g6wb,Work,,,Pets,,,,,,,,,,,,,Threatened,Weekly,Monthly,,Stressed,,,,,,Disappointed,,1,1,1,,,1,3,3,,,3,3,,,,Vulnerable,Disappointed,,,,,,"Yes, in 2020",,,,,,,,,Frustrated,,,"Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Unemployed,1,,,Frustrated,Disappointed,,,,,,"Yes, I had a reduction in working hours and/or wage",Financial reasons," 1"," 1"," 1"," 1",3,3,4,4,10,Food & Consumer Goods,,Male,,40-50,I'm from New York State,Black or African American,Frustrated,nywhatsapp,2022-06-23 19:45:58,2022-06-23 19:48:51,57606fe08b
7smysfyljle0rrh2x57smysljhlfholx,Study,,,,,Alone,,,,,,,,,,,,Weekly,Every 3 months,,,,,,,Vulnerable,,,1,1,1,,3,3,2,2,2,,3,3,,,,,Disappointed,,Threatened,,,,,"Yes, in 2021",,,,,,,,Frustrated,,Threatened,"Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",Loan,,,,,,,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,," 1"," 1",2,2,2,2,2,2,9,,Information and Computing Sciences,Female,,20-24,I'm from New York State,White,Frustrated,nywhatsapp,2022-06-23 19:46:02,2022-06-23 19:48:45,57606fe08b
95yi1fhoskzut7zwtdk595yitf3ppfgf,Study,Family,,,,,,3,,,,,,,,Frustrated,,Daily,Weekly,Bored,,,,,,,Disappointed,Anxious,4,4,4,5,4,3,4,3,3,4,3,4,,,,,,Hostile,,,,,,,"Yes, in 2022",Stressed,,,,,,,,,"Relationships,Family,Physical health,Career & Finances,Mental health,Spirituality","Relationships,Physical health,Mental health,Family,Career & Finances,Spirituality",Family,Bored,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,10,,Economics,Female,,18-20,I'm from New York State,White,Frustrated,qr-code,2022-06-23 19:45:09,2022-06-23 19:48:37,0ddced88a4
j495anmq2gxklousj4950zde2mghotnb,Work,Family,,,,,,2,,,,,,,Disappointed,,,Weekly,Monthly,,,,,,,Vulnerable,,,1,1,1,,,,2,2,2,,,,,,,Vulnerable,,,,,,,"Yes, in 2020",,,,,,,,Disappointed,Frustrated,,,"Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Self - employed,1,,,,,Vulnerable,,,,,"No, it didn’t change",," 1"," 1"," 1"," 1",2,2,2,2,10,Information Technology,,Male,,30-40,I'm from New York State,Hispanic / Latino,Frustrated,nywhatsapp,2022-06-23 19:42:12,2022-06-23 19:45:11,57606fe08b
lz9g5udlry4433aog4qlz9g5ud98k63m,Study,Family,,,,,,5,Bored,Stressed,,,,,,Frustrated,,Daily,Daily,Bored,,,,,Lonely,,,Anxious,5,5,3,4,4,5,4,3,1,4,3,5,,,,Vulnerable,Disappointed,,Threatened,,,,,"Yes, in 2021",,,,,Lonely,Vulnerable,,,Anxious,,"Physical health,Relationships,Career & Finances,Spirituality,Family,Mental health","Mental health,Relationships,Physical health,Career & Finances,Spirituality,Family",Job,,,Free,,Optimistic,,Disappointed,,,Yes because I dropped out university,,,Family / Friends / Advisors Influence,,,,,,,,,,,,,,,,,,,3,5,3,3,5,4,3,2,8,,Medical and Health Sciences,Female,,50-60,I'm from somewhere else in the US,Black or African American,Frustrated,qr-code,2022-06-23 19:39:46,2022-06-23 19:45:01,451607f502
2ofz5lo07116t922ofz57sg967c8mg8m,Study,,,,,Alone,,,,,,,,,,,,Weekly,Every 3 months,,,,,,Lonely,,Disappointed,,1,1,1,,,,2,2,2,,,,,,Indifferent,,,,Threatened,,,,,"Yes, in 2021",,,,,,,,Frustrated,,,"Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality","Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality",Loan,,,,,,Lonely,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,," 1"," 1"," 1"," 1",3,3,2,2,9,,Psychology and Cognitive Sciences,Male,,20-24,I'm from New York State,White,Distant,nywhatsapp,2022-06-23 19:42:14,2022-06-23 19:44:37,57606fe08b
4fqgi7cys4ryihkbebqdl4fqgi7cym54,Work,Family,,,,,,4,,Stressed,,,,,,,,Daily,Daily,,,Excited,,,Lonely,,Disappointed,,5,5,5,5,5,5,5,3,3,5,5,5,,,,Vulnerable,,Hostile,Threatened,,,No,,,,,,,,,,,,,"Family,Career & Finances,Physical health,Mental health,Relationships,Spirituality","Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances",,,,,,,,,,,,,,,,,,,,Permanent employed,0,Free,,,,,,,,,"No, it didn’t change",,5,4,4,3,5,4,4,5,8,Health Care,,Female,,60+,I'm from somewhere else in the US,White,Stressed,qr-code,2022-06-23 19:32:22,2022-06-23 19:39:40,4074215633
va9eiczx8qaw78q4va9eibtujc3nqjge,Work,,,,,Alone,,,,,,,,,,,,Weekly,Monthly,,,,,,,Vulnerable,,,1,1,1,,,,,,,3,3,5,,,Indifferent,,,,Threatened,,,,"Yes, in 2020",,,,,,,Vulnerable,,,Anxious,,"Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality","Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Business owner,1,,,Frustrated,,Vulnerable,,,,,"Yes, I had a reduction in working hours and/or wage",I wanted to work remotely," 1"," 1"," 1"," 1",3,3,3,3,9,Financials,,Male,,30-40,I'm from New York State,Black or African American,Frustrated,nywhatsapp,2022-06-23 19:34:23,2022-06-23 19:37:15,57606fe08b
qsax6xk2jja3dwl2rgkqsax6hhc4pnh1,Study,,,,Roommates,,,1,,,,,,,,Frustrated,,Daily,Monthly,,,,Hopeful,,,,Disappointed,,1,1,1,,1,1,1,1,1,,2,2,,,Indifferent,,,,Threatened,,,,,"Yes, in 2021",,,,,,Vulnerable,,Frustrated,,,"Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",Loan,,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,," 1"," 1"," 1"," 1",4,4,4,4,9,,Information and Computing Sciences,Male,,30-40,I'm from New York State,White,Frustrated,nywhatsapp,2022-06-23 19:34:25,2022-06-23 19:36:57,57606fe08b
xzgn0l5mfubcs7q26a9913xzgn0lgif7,Study,,Friends,,,,,1,,Stressed,,Optimistic,,,,Frustrated,,Daily,Daily,,,,Hopeful,,,,,,5,5,5,5,5,5,4,3,4,5,4,3,,,,,Disappointed,Hostile,,Anxious,,,,,"Yes, in 2022",,,,Lonely,Vulnerable,,Frustrated,,,"Relationships,Family,Mental health,Career & Finances,Physical health,Spirituality","Relationships,Family,Mental health,Career & Finances,Spirituality,Physical health",Job,,,,Proud,,,,,,No,,,,,,,,,,,,,,,,,,,,,," 1"," 1"," 1"," 1",5,5,5,5,5,,Studies in Creative Arts and Writing,Female,,24-30,I come from abroad,White,Anxious,qr-code,2022-06-23 19:32:53,2022-06-23 19:36:48,2ea6fc78a3
evr5mpdckqhpfaevr16plauiawun4co3,Work,,Friends,,Roommates,,,1,,Stressed,,Optimistic,,,,Frustrated,,Weekly,Daily,,,,Hopeful,,,Vulnerable,,Anxious,5,4,5,5,5,5,4,2,2,4,4,4,,,,,Disappointed,Hostile,Threatened,,,,"Yes, in 2020","Yes, in 2021",,Stressed,,,,,,,,,"Relationships,Career & Finances,Family,Spirituality,Physical health,Mental health","Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances",,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,Frustrated,,Vulnerable,,,,,"Yes, I had a reduction in working hours and/or wage",Change in personal interests,4,4,2,4,5,5,3,5,8,Food & Consumer Goods,,Female,,24-30,I'm from somewhere else in the US,Multiracial,Anxious,qr-code,2022-06-23 19:30:13,2022-06-23 19:35:39,f4d2c15861
sqhoyoysnamckg8001sqhoyoyoywl8ll,Work,Family,,,,,,2,,Stressed,,,,,,,,Weekly,Monthly,Bored,,,,,,,Disappointed,,1,1,1,,,1,2,2,2,,,3,,,,Vulnerable,,,,Anxious,,,"Yes, in 2020",,,Stressed,,,,Vulnerable,,,,,"Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,Frustrated,Disappointed,,,,,,"Yes, my company went out of business",Work environment," 1"," 1"," 1"," 1"," 1"," 1"," 1"," 1",9,Manufacturing & Logistics,,Male,,30-40,I'm from New York State,Hispanic / Latino,Frustrated,nywhatsapp,2022-06-23 19:31:01,2022-06-23 19:33:44,57606fe08b
sv20vjgtcm4f8cxx351pysv20nzddoxl,Study,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Daily,,,Excited,,,Lonely,,,Anxious,5,5,4,5,4,3,4,4,3,5,4,4,,,,,Disappointed,,,Anxious,,No,,,,,,,,,,,,,"Career & Finances,Relationships,Mental health,Family,Physical health,Spirituality","Relationships,Mental health,Family,Physical health,Career & Finances,Spirituality",Scholarship,Bored,,,,,,,Frustrated,Anxious,No,,,,,,,,,,,,,,,,,,,,,,4,3,3,3,5,5,4,4,4,,Law and Legal Studies,Male,,20-24,I'm from somewhere else in the US,Multiracial,Stressed,qr-code,2022-06-23 19:29:39,2022-06-23 19:33:25,4e46fc3be9
ztj8fcz1pqeghkj16evdztj8finm09ce,Study,,,,Roommates,,,1,,,,,,,,Frustrated,Threatened,Monthly,Monthly,Bored,,,,,,Vulnerable,,,1,1,1,,,,,,2,3,4,,Proud,,,,,,Threatened,,,,,"Yes, in 2021",,,,,,,,,,Threatened,"Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality","Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality",Loan,Bored,,,,,,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,," 1"," 1"," 1"," 1",2,3,4,4,10,,Medical and Health Sciences,Male,,24-30,I'm from New York State,Black or African American,Frustrated,nywhatsapp,2022-06-23 19:30:59,2022-06-23 19:33:23,57606fe08b
nmb6lwnsjw1klr7esx4zajnmb6lwe26c,Study,,,Pets,,,,,,,,,,,,,Threatened,Monthly,Monthly,,,,,,,,Disappointed,,1,1,1,,,,,,,2,3,4,,,,Vulnerable,,,,Anxious,,,,"Yes, in 2021",,Stressed,,,,,,Frustrated,,,"Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",Loan,,Stressed,,,,Lonely,,,,No,,,,,,,,,,,,,,,,,,,,,," 1",2,3," 1",2,2,2,2,9,,Physical Sciences,Male,,24-30,I'm from New York State,White,Frustrated,nywhatsapp,2022-06-23 19:26:40,2022-06-23 19:30:03,57606fe08b
n55xsy5qyzb1edsy0xf7n55xsy5u19h6,Work,,,Pets,,,,,,,,,Peaceful,,,,,Weekly,Every 3 months,,,,,,,Vulnerable,,,1,1,1,,,1,2,2,,2,2,,,,,,,,Threatened,,,,,"Yes, in 2021",,,,,,Vulnerable,Disappointed,,,,"Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Fixed term employed,1,,,,Disappointed,Vulnerable,,,,,"Yes, I had a reduction in working hours and/or wage",I wanted to work remotely," 1"," 1"," 1"," 1",2,2,2,3,8,Consumer Services & Retail,,Female,,30-40,I'm from New York State,Black or African American,Frustrated,nywhatsapp,2022-06-23 19:26:42,2022-06-23 19:29:42,57606fe08b
keyre8uspawoigkeyre8palkxd3g6s9s,Study,,,,Roommates,,,2,,Stressed,,,,Lonely,,Frustrated,,Weekly,Daily,,,,Hopeful,Peaceful,,Vulnerable,,,5,3,2,4,3,4,5,3,2,4,3,3,,,,,Disappointed,,Threatened,,,,,,"Yes, in 2022",Stressed,,,,Vulnerable,,,Anxious,,"Career & Finances,Physical health,Relationships,Spirituality,Family,Mental health","Career & Finances,Family,Physical health,Relationships,Mental health,Spirituality",Family,,Stressed,,,,Lonely,,,Anxious,Yes because I dropped out university,,Change in learning modes,,Low grades,,,,Other / I prefer not to answer,,,,,,,,,,,,,,2," 1",3," 1",3," 1",4,2,1,,Built Environment and Design,Female,,24-30,I come from abroad,White,Lonely,mimail,2022-06-23 19:20:36,2022-06-23 19:26:48,9e1e0c6b77
9rqykcv8wj2jev85o9rqykemocpgkg0g,Study,,,Pets,,,,,,,,,,Lonely,,Frustrated,,Monthly,Monthly,,Stressed,,,,,Vulnerable,,,1,1,1,,,,3,3,3,,,,,Optimistic,,,,,Threatened,,,,,,"Yes, in 2022",,,,Lonely,,,,,Threatened,"Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",Loan,,Stressed,,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,," 1"," 1"," 1"," 1",3,3,3,3,10,,Information and Computing Sciences,Male,,30-40,I'm from New York State,Black or African American,Frustrated,nywhatsapp,2022-06-23 19:15:01,2022-06-23 19:26:23,57606fe08b
nwvdd1orto756f7wsqp5anwvd5afeutl,Work,,,,,Alone,,,,,,,,,,,,Weekly,Monthly,,,,,,,,Disappointed,,1,1,1,,,1,2,2,2,,2,,,,Indifferent,,,,,Anxious,,,,"Yes, in 2021",,,Optimistic,,,,,Frustrated,,,"Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality","Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality",,,,,,,,,,,,,,,,,,,,Fixed term employed,1,,,,,Vulnerable,,,,,"No, it didn’t change",," 1"," 1"," 1"," 1",3,3,3,3,8,Information Technology,,Male,,30-40,I'm from New York State,White,Frustrated,nywhatsapp,2022-06-23 19:15:02,2022-06-23 19:25:46,57606fe08b
1ikzxiiamr34jrr1ikzxgzfwnja4ajzg,Study,,,,,Alone,,,,,,,,,,,,Monthly,Monthly,Bored,,,,,,,,,4,4,4,3,3,5,3,3,3,4,3,2,,,Indifferent,,,,,,,,,"Yes, in 2021",,,,,,,,Frustrated,,,"Family,Mental health,Relationships,Physical health,Career & Finances,Spirituality","Family,Career & Finances,Relationships,Physical health,Mental health,Spirituality",Other / I prefer not to answer,,,Free,,,,,,,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,6,,Physical Sciences,Male,,24-30,I'm from somewhere else in the US,White,Frustrated,qr-code,2022-06-23 19:16:38,2022-06-23 19:21:56,7fa2e02854
0uzc0220c0l0z40uzckw7y1n6ma349o0,Study,Family,,,,,,4,,,,,,,,Frustrated,,Weekly,Daily,Bored,,,,,Lonely,,,Anxious,5,5,5,5,5,5,5,5,5,5,5,3,,,,Vulnerable,Disappointed,,Threatened,,,No,,,,,,,,,,,,,"Spirituality,Career & Finances,Relationships,Family,Mental health,Physical health","Physical health,Career & Finances,Mental health,Spirituality,Relationships,Family",Job,,,,,Optimistic,,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,3," 1"," 1",3,5,5,3,4,7,,Economics,Not-binary,,20-24,I'm from somewhere else in the US,White,Anxious,qr-code,2022-06-23 19:15:32,2022-06-23 19:19:40,3e529f1b10
kz1qf328b47yyxwgqk0bgzkz1qf328s5,Work,,,,,Alone,,,,,,,,,,,,Weekly,Weekly,,,,,,Lonely,,,,2,3,2,4,3,5,2,4,2,5,4,5,,,Indifferent,,,,,,,No,,,,,,,,,,,,,"Career & Finances,Mental health,Family,Physical health,Relationships,Spirituality","Career & Finances,Mental health,Family,Relationships,Physical health,Spirituality",,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,Frustrated,,,,,,,"No, it didn’t change",,5,4,4,4,5,5,5,5,10,Financials,,Male,,24-30,I come from abroad,White,Frustrated,qr-code,2022-06-23 19:09:40,2022-06-23 19:16:49,0a40360898
crlh255rbouv6crcrlh2xwh7tslj80c4,Study,,,,,Alone,,,,,,,,,,,,Daily,Daily,Bored,,,,,,,,,5,3,2,5,5,4,5,3,2,5,5,4,,,,,Disappointed,,,,,No,,,,,,,,,,,,,"Career & Finances,Physical health,Mental health,Relationships,Spirituality,Family","Career & Finances,Physical health,Relationships,Mental health,Spirituality,Family",Family,Bored,,Free,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,4,4,4,3,5,5,4,3,9,,Economics,Male,,20-24,I'm from somewhere else in the US,Asian,Disappointed,qr-code,2022-06-23 19:07:14,2022-06-23 19:12:47,47a94466e0
379eezikdwfie14pnzn379e3jc34kpdk,Study,Family,,,,,,6,Bored,Stressed,,,,,,Frustrated,,Weekly,Monthly,,,Excited,,,,,Disappointed,Anxious,5,3,2,5,4,5,5,3,1,5,1,4,,,,,,,Threatened,,,No,,,,,,,,,,,,,"Mental health,Career & Finances,Relationships,Physical health,Spirituality,Family","Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family",Family,,Stressed,,,,Lonely,,,Anxious,Yes because I changed my field of study,Change in personal interests,,,,,,,,,,,,,,,,,,,,,5,5,2,2,5,5,5,5,9,,Built Environment and Design,Female,,18-20,I come from abroad,White,Frustrated,mimail,2022-06-23 19:06:05,2022-06-23 19:12:19,38ecca7a0c
63tqztua0ea5qzfl8w608p63tqzc818g,Neither,Family,,,,,,2,,Stressed,,,,,,,,Weekly,Weekly,,,,,Peaceful,,,,,5,5,5,5,5,5,5,1,3,5,4,2,,,,Vulnerable,,,,,,No,,,,,,,,,,,,,"Career & Finances,Relationships,Physical health,Mental health,Spirituality,Family","Mental health,Career & Finances,Spirituality,Physical health,Relationships,Family",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2," 1",5,3,2,3,3,Media & Entertainment,,Male,,20-24,I'm from New York State,Black or African American,Anxious,qr-code,2022-06-23 19:07:01,2022-06-23 19:12:17,b863ed7e70
nb78iqtc99wpau1879207bnb78r5335p,Study,Family,,,,,,1,Bored,Stressed,,,Peaceful,,,,,Daily,Daily,,Stressed,Excited,,Peaceful,,,,,5,4,3,4,4,5,3,3,4,4,2,5,,,,,,,,Anxious,Free,,"Yes, in 2020","Yes, in 2021",,Stressed,,,,,,Frustrated,,,"Mental health,Physical health,Relationships,Spirituality,Family,Career & Finances","Mental health,Physical health,Relationships,Spirituality,Family,Career & Finances",Family,,,,,,,Disappointed,Frustrated,Anxious,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,10,,Psychology and Cognitive Sciences,Female,,18-20,I'm from somewhere else in the US,White,Anxious,qr-code,2022-06-23 18:59:09,2022-06-23 19:07:59,fb889d6579
m4bh5emln3meu4ttum4bh5evz3bkshgj,Work,,,,,Alone,,,,,,,,,,,,Weekly,Weekly,Bored,,,,,,,Disappointed,,4,1,1,3,3,1,2,1,1,1,1,1,,,Indifferent,,,,,,,No,,,,,,,,,,,,,"Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances","Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances",,,,,,,,,,,,,,,,,,,,Business owner,0,Free,,,,,,,,,"No, it didn’t change",," 1",3," 1"," 1",5,5,3,5,8,Financials,,Male,,30-40,I come from abroad,Asian,Optimistic,qr-code,2022-06-23 18:57:54,2022-06-23 19:05:29,c20345ccd2
hrjzgexmhu4yjcxhrj9lpmtn2n59p9w2,Study,Family,,,,,,2,,,Free,,Peaceful,,,,,Daily,Daily,,,Excited,Hopeful,Peaceful,,,,,1,2,2,4,1,1,1,2,2,4,2,2,,,,,Disappointed,,,,,,,,"Yes, in 2022",,,,,Vulnerable,,,Anxious,Threatened,"Family,Spirituality,Career & Finances,Physical health,Mental health,Relationships","Spirituality,Family,Mental health,Physical health,Career & Finances,Relationships",Family,Bored,Stressed,,,,,,,,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,4,4,3,3,4,4,3,3,8,,Medical and Health Sciences,Female,,20-24,I come from abroad,Asian,Stressed,qr-code,2022-06-23 18:56:42,2022-06-23 19:03:21,6b28f48898
